epoch,train_loss,train_bce,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.61388,0.6101,0.00266,35.12665,116.91431,1473.1216,0.74497,0.71107,0.43795,0.001,6.57
2,0.57068,0.56355,0.0079,63.40643,81.98677,2100.69246,0.75447,0.71985,0.43012,0.001,6.57
3,0.55714,0.54846,0.01133,75.47776,76.28794,2257.61767,0.76816,0.72004,0.42618,0.001,6.57
4,0.5462,0.54099,0.00868,43.45438,79.50797,2166.18539,0.77607,0.73137,0.42133,0.001,6.57
1,0.61397,0.61019,0.00262,35.21345,132.59042,1298.95507,0.74279,0.71095,0.43842,0.001,6.57
2,0.56962,0.56186,0.00684,70.75008,73.51438,2342.79331,0.75395,0.7209,0.42969,0.001,6.57
3,0.56061,0.55068,0.0092,90.0932,43.41483,3967.05433,0.7592,0.71757,0.42817,0.001,6.57
4,0.55606,0.55074,0.00674,46.461,43.59027,3951.08849,0.76249,0.723,0.42694,0.001,6.57
5,0.54641,0.54133,0.00844,42.30357,49.71568,3464.27899,0.77395,0.72849,0.42214,0.001,6.57
6,0.54735,0.53357,0.03979,97.9629,45.44234,3790.05595,0.77166,0.72403,0.42353,0.001,6.57
7,0.55444,0.53867,0.03842,119.22569,42.46805,4055.49586,0.77268,0.72749,0.42298,0.001,6.57
8,0.55035,0.53357,0.04254,125.31202,40.82272,4218.94975,0.76768,0.72485,0.4243,0.0005,6.57
9,0.55293,0.53204,0.06184,147.03418,46.68536,3689.14351,0.77235,0.72828,0.42235,0.0005,6.57
10,0.54957,0.52624,0.09434,138.99753,42.8843,4016.13222,0.77043,0.72607,0.42344,0.0005,6.57
