epoch,train_loss,train_bce,train_mono,train_gs,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.44248,0.44186,0.0,0.00617,726.76059,4842.47499,0.7798,0.81306,0.36735,0.001,7.127
2,0.42419,0.42325,0.0,0.00939,714.86993,4923.02142,0.78547,0.81411,0.36555,0.001,7.124
3,0.41892,0.41802,0.0,0.009,711.87851,4943.70871,0.78939,0.81499,0.36441,0.001,7.124
4,0.41915,0.41749,0.0,0.01657,713.21753,4934.4272,0.79213,0.81662,0.36321,0.001,7.124
5,0.4138,0.41238,0.0,0.0142,721.3032,4879.11322,0.79644,0.81824,0.36129,0.001,7.124
6,0.41121,0.4101,0.0,0.01102,722.44454,4871.40508,0.79748,0.81853,0.36087,0.001,7.124
7,0.40938,0.40831,0.0,0.01072,717.71432,4903.51094,0.79625,0.81787,0.36126,0.001,7.124
8,0.40862,0.40765,0.0,0.0097,715.88953,4916.00991,0.79965,0.81914,0.35988,0.001,7.124
9,0.40801,0.40727,0.0,0.00748,726.68852,4842.95525,0.80059,0.81968,0.35953,0.001,7.124
10,0.40913,0.40846,0.0,0.00664,709.07161,4963.27868,0.78532,0.81442,0.36501,0.001,7.124
11,0.40776,0.40716,0.0,0.00597,724.68835,4856.32201,0.79993,0.81946,0.35958,0.001,7.124
12,0.40584,0.40526,0.0,0.00587,721.9725,4874.59007,0.80007,0.81967,0.35972,0.0005,7.124
13,0.40435,0.40378,0.0,0.00572,722.13838,4873.47037,0.80217,0.82018,0.35887,0.0005,7.124
14,0.40353,0.40297,0.0,0.00559,723.43527,4864.7338,0.80286,0.82054,0.35855,0.0005,7.124
15,0.40299,0.40243,0.0,0.0056,717.30687,4906.29626,0.80334,0.82097,0.35831,0.0005,7.124
16,0.40234,0.40176,0.0,0.00585,725.03452,4854.00333,0.80405,0.82084,0.3582,0.0005,7.124
17,0.40288,0.40224,0.0,0.00634,725.21476,4852.79695,0.80192,0.82041,0.3588,0.0005,7.124
18,0.40369,0.40297,0.0,0.00722,712.59023,4938.77102,0.80219,0.82072,0.35862,0.0005,7.124
19,0.40295,0.40225,0.0,0.00698,716.99538,4908.42769,0.80127,0.82038,0.35896,0.00025,7.124
20,0.40301,0.40235,0.0,0.00666,720.57855,4884.01991,0.8011,0.82047,0.35905,0.00025,7.124
21,0.40247,0.4018,0.0,0.00669,724.47331,4857.76351,0.80299,0.82088,0.35834,0.00025,7.124
