epoch,train_loss,train_bce,train_mono,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.44196,0.44092,0.0,10.49016,716.2245,4913.71072,0.78825,0.81516,0.36509,0.001,7.159
2,0.43631,0.43481,4e-05,14.98184,716.53438,4911.58568,0.78147,0.81251,0.36699,0.001,7.159
3,0.42032,0.41954,1e-05,7.82912,721.58882,4877.182,0.79369,0.81789,0.36243,0.001,7.159
4,0.41466,0.41401,0.0,6.53341,715.22184,4920.59915,0.79484,0.81791,0.36208,0.001,7.159
5,0.41414,0.41324,1e-05,8.91454,723.92088,4861.47048,0.78892,0.8155,0.36398,0.001,7.159
6,0.4108,0.41011,0.0,6.91778,723.97257,4861.12338,0.79987,0.81966,0.35987,0.001,7.159
7,0.40832,0.4078,0.0,5.2689,719.10039,4894.05939,0.80127,0.81939,0.36004,0.001,7.159
8,0.40692,0.40635,0.0,5.79137,721.53067,4877.57508,0.80278,0.82035,0.35926,0.001,7.159
9,0.40712,0.40658,0.0,5.45382,722.78474,4869.11222,0.80291,0.82046,0.35862,0.001,7.159
10,0.4053,0.40469,0.0,6.06429,722.40889,4871.64549,0.80175,0.82039,0.35903,0.001,7.159
11,0.40495,0.40422,0.0,7.30078,724.02672,4860.75984,0.80242,0.8206,0.35876,0.001,7.159
12,0.40517,0.40419,0.0,9.76051,717.96589,4901.79279,0.80265,0.82081,0.35854,0.0005,7.159
13,0.4031,0.40225,0.0,8.47802,723.04274,4867.37477,0.80523,0.82161,0.35762,0.0005,7.159
14,0.40379,0.4028,0.0,9.9254,722.55123,4870.68575,0.80428,0.82139,0.3579,0.0005,7.159
15,0.40111,0.40038,0.0,7.35905,718.16839,4900.41059,0.80538,0.82177,0.35758,0.0005,7.159
16,0.40109,0.4003,0.0,7.97372,724.40163,4858.24417,0.80551,0.82176,0.35737,0.0005,7.159
17,0.40005,0.39938,0.0,6.69226,729.10876,4826.87933,0.80595,0.82207,0.35719,0.0005,7.159
18,0.40027,0.39966,0.0,6.0748,720.85364,4882.15609,0.80597,0.82239,0.35712,0.0005,7.159
19,0.40016,0.39948,0.0,6.75216,717.7606,4903.19477,0.80358,0.82037,0.35917,0.0005,7.159
20,0.40085,0.40004,0.0,8.14,723.6495,4863.29361,0.80446,0.82168,0.35769,0.00025,7.159
21,0.39972,0.39914,0.0,5.85322,727.10123,4840.20635,0.80602,0.82205,0.35719,0.00025,7.159
22,0.39911,0.3985,0.0,6.15122,686.95628,5123.06258,0.80643,0.82222,0.35703,0.00025,7.159
23,0.39862,0.39798,0.0,6.3966,697.48894,5045.70008,0.80691,0.82241,0.35681,0.00025,7.159
24,0.39833,0.39765,0.0,6.81486,700.75879,5022.15603,0.80766,0.8226,0.35649,0.00025,7.159
25,0.39823,0.39746,0.0,7.6836,696.98078,5049.37887,0.80705,0.82273,0.35676,0.00025,7.159
26,0.39824,0.39749,0.0,7.4443,700.52991,5023.79692,0.80769,0.82277,0.35649,0.00025,7.159
27,0.39799,0.39723,0.0,7.57962,706.93512,4978.27861,0.80759,0.82249,0.35659,0.000125,7.159
28,0.39739,0.39656,0.0,8.33606,707.75734,4972.49522,0.8078,0.82263,0.35646,0.000125,7.159
29,0.39787,0.39702,0.0,8.46646,710.965,4950.06085,0.80729,0.82266,0.35657,0.000125,7.159
30,0.39811,0.39724,0.0,8.65208,707.41638,4974.89186,0.80772,0.82273,0.3565,0.000125,7.159
31,0.39811,0.39736,0.0,7.50013,710.71745,4951.78502,0.80731,0.8225,0.35666,6.25e-05,7.159
32,0.39767,0.3969,0.0,7.7487,713.6729,4931.27873,0.8077,0.82276,0.3564,6.25e-05,7.159
33,0.39741,0.39671,0.0,6.93616,710.4468,4953.67138,0.80801,0.8228,0.35633,6.25e-05,7.159
34,0.39727,0.39652,0.0,7.44854,715.06951,4921.64742,0.80787,0.82262,0.35639,6.25e-05,7.159
35,0.39741,0.39663,0.0,7.83172,702.30662,5011.08761,0.80756,0.82248,0.35649,6.25e-05,7.159
36,0.39762,0.39681,0.0,8.10186,708.65161,4966.22027,0.80787,0.82268,0.35636,3.125e-05,7.159
37,0.39711,0.39631,0.0,7.93817,703.03953,5005.86362,0.80789,0.82268,0.35635,3.125e-05,7.159
38,0.39715,0.39638,0.0,7.68778,697.4495,5045.98541,0.80767,0.82265,0.35646,3.125e-05,7.159
